,"﻿""Country Name""",Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
653,Caribbean small states,CSS,GDP per capita (Current US$),NY.GDP.PCAP.CD,446.703384633,475.23965469,492.978093741,514.86050852,545.907842813,578.746017109,619.071306686,655.851510696,643.469353402,692.359309457,752.156627492,807.78167251,921.501394021,996.25862664,1279.28314217,1477.71615943,1504.05406543,1727.57280401,1752.79716712,1992.34060727,2424.10776747,2642.91589563,2902.67535624,2903.97853862,2732.47293973,2674.20672096,2414.19834177,2576.63628416,2715.59481714,2762.18013404,2982.45804979,2926.27439378,2855.97742227,3058.60482007,3190.55274221,3495.51466652,3786.36242052,4402.84291796,4670.04408519,4914.95775113,5233.29990212,5354.94795466,5579.45317665,5921.5825058,6435.24424081,7228.48920263,8016.26362087,8889.54405956,10021.61236,8381.41514211,9059.00005334,9724.12450961,9978.38714712,10020.5733169,10121.3104824,9835.19011569,9339.01278294
1709,Early-demographic dividend,EAR,GDP per capita (Current US$),NY.GDP.PCAP.CD,155.454885282,152.553771546,153.867328226,159.231827319,178.446456719,188.934779747,181.976235874,186.614296388,197.21677364,214.883743139,223.030006154,234.873435343,251.91090098,314.326916153,430.096474596,450.0574538,479.087616383,522.57326139,565.009623096,670.763655416,813.607975748,886.47713573,824.018630332,808.807725625,787.44857526,787.216231722,776.289381846,763.103849311,795.89340254,793.784100211,893.19341502,926.481502404,995.514867805,1068.3752713,1097.63525911,1105.08513431,1180.2803347,1238.28605756,1200.91238275,1247.59905196,1329.12434747,1293.14955763,1234.28830071,1349.87185392,1542.67835379,1769.15720632,1993.07261898,2329.332549,2585.53594335,2449.69102309,2931.11646658,3244.48882944,3351.45203517,3364.23482502,3430.19455275,3281.29608229,3304.82518741
2237,East Asia & Pacific,EAS,GDP per capita (Current US$),NY.GDP.PCAP.CD,147.368458688,147.288865836,148.63965143,161.921540138,181.776600477,197.747484281,215.419959332,227.765254038,244.950831188,274.800145435,316.032795539,342.359834383,415.035367103,535.036186745,602.79007692,647.578950442,700.062323512,821.695815519,1021.52136804,1092.26194523,1163.18502848,1263.02283192,1217.93621441,1275.79190894,1346.40381577,1399.72312586,1800.85401317,2080.57662291,2463.34986411,2525.36400213,2598.1220688,2892.05398451,3118.61687127,3444.71976989,3805.08908798,4272.14723338,4068.15387194,3849.18703725,3414.58530021,3774.76972719,4045.07534643,3728.80267923,3756.36103285,4096.93698595,4559.67391643,4829.31203796,5084.35277429,5647.05403519,6476.44806729,6628.14436237,7676.52058872,8842.71785535,9401.26932473,9445.93245327,9663.42318682,9546.30467221,9793.04901501
2765,East Asia & Pacific (excluding high income),EAP,GDP per capita (Current US$),NY.GDP.PCAP.CD,89.7745808621,78.8434971868,71.2986055137,75.2780634299,85.1824984268,96.9789268325,103.261527109,97.4777468391,95.8264876277,104.709326269,113.574516709,118.864145325,131.520252257,161.732515357,178.530294877,196.851150455,196.326283893,223.262675675,212.763740058,242.59908095,275.683497422,289.639576749,298.849160537,308.360008186,329.494329399,355.347014066,348.435050903,338.16329482,368.594304805,391.773888825,413.206395063,441.703838265,488.104182198,528.790453133,627.877492074,765.279428003,868.365616331,888.826929564,805.474287911,876.733373722,955.518252122,1007.15082712,1104.84476598,1240.02218944,1426.39325523,1639.19254814,1959.12644789,2459.42429353,3091.04606795,3328.86794438,4008.91201168,4865.85630205,5389.26972062,5905.2560258,6303.61498828,6510.60489007,6579.02158768
3293,East Asia & Pacific (IDA & IBRD),TEA,GDP per capita (Current US$),NY.GDP.PCAP.CD,90.75021575,79.7226603214,72.0977424867,76.1126586609,86.1196177817,98.0415031081,104.389235429,98.5439999978,96.8778560431,105.860566282,114.824449666,120.172523359,132.970653334,163.519223026,180.504806933,199.029941681,198.497955759,225.727803839,215.10515807,245.259553418,278.700948251,292.806676889,302.111240361,311.722555145,333.087614641,359.219091856,352.222393585,341.82485319,372.569807942,395.987825664,417.644646834,446.450128021,493.360695675,534.500881104,634.670846164,773.564690823,877.758540176,898.419410719,814.142943262,886.146890524,965.762181527,1017.94186469,1116.67623727,1253.31690815,1441.7309073,1656.84853341,1980.23789986,2485.91116897,3124.28515915,3364.52907863,4051.86738251,4917.9291649,5446.80926769,5968.18553522,6370.64782997,6579.68608784,6648.64429399
3821,Euro area,EMU,GDP per capita (Current US$),NY.GDP.PCAP.CD,924.960015488,1008.90239635,1109.26346696,1232.78259603,1358.65663197,1469.35962473,1589.18578353,1714.27482926,1825.7653607,2003.62399466,2230.24193528,2513.53388607,3015.51782172,3889.03503913,4384.37605148,5057.39342663,5254.29768519,5953.05883595,7261.30004083,8761.45492834,9772.04239193,8461.20080241,8169.82830816,7954.18386494,7616.96717825,7810.53989658,10933.6156375,13484.8381354,14780.083896,15031.6919923,18829.0204141,19502.7740439,21416.1023072,19533.58573,20572.1802887,23683.637719,23911.1414961,21809.6731364,22363.9946784,22206.5612965,20170.3112341,20423.9770705,22114.1761117,27138.0188379,30957.9803918,31965.4629555,33782.0923417,38700.3860109,42220.0445484,38480.9224408,37605.1459892,40610.7193142,37604.5858449,39111.4494919,39823.5057751,34362.6450647,35039.4154795
4349,Europe & Central Asia,ECS,GDP per capita (Current US$),NY.GDP.PCAP.CD,648.875807007,682.809397159,737.792815118,804.125868689,880.387107287,947.569282631,1019.72335456,1087.16548877,1124.04508539,1223.7138214,1365.0396033,1527.7026934,1815.3847219,2287.29813975,2564.6708001,2974.18414321,3069.4932385,3455.16265724,4189.16824304,5090.96679568,5727.23707066,5063.80804216,4850.7160988,4679.07347025,4470.84944011,4599.42266002,6239.02519726,7662.25414099,8477.33656649,8612.15911612,10480.53734,10770.3463009,11503.8674588,10533.124286,10991.4600282,12654.2582933,12900.5844074,12220.1441266,12506.521879,12346.94478,11618.6144493,11714.0030364,12792.02391,15540.4938872,18062.0533183,19182.2205748,20701.3451021,24104.7755443,26352.5679002,23087.3778119,23532.2980394,26013.1392869,24973.0569328,25978.7967827,26197.3138321,22452.3994831,22248.7985966
5933,European Union,EUU,GDP per capita (Current US$),NY.GDP.PCAP.CD,876.753840384,946.442021305,1024.8258985,1118.98693484,1229.32701742,1327.74123807,1428.36578976,1523.80139468,1573.26660603,1716.92606726,1933.67989367,2175.72634631,2588.27910606,3266.7066762,3651.17221817,4234.13589795,4365.00450524,4922.90082696,6009.25189967,7310.45522899,8309.84841375,7325.73357199,7031.03325583,6799.29815084,6513.87270222,6715.83871412,9183.30892046,11329.6858273,12597.6518803,12819.4332333,15842.9357004,16408.8079493,17825.1076561,16196.2565761,17157.3478096,19860.2150269,20273.9971824,19102.276756,19726.2559056,19656.1425978,18243.4419888,18406.9780577,20017.4497802,24277.6906147,27922.0908655,29092.3097086,30921.9935719,35593.285977,38136.0768508,33979.5964202,33676.0469373,36406.7316614,34234.0280115,35586.567973,36670.822295,32206.697608,32263.5385158
6989,Heavily indebted poor countries (HIPC),HPC,GDP per capita (Current US$),NY.GDP.PCAP.CD,107.059344385,107.335040184,114.129332753,134.686181185,117.013704618,133.447721425,141.802010781,135.223878273,139.498733757,151.469661719,154.396841222,162.137459388,171.069104531,201.109792144,240.866891814,265.984742537,276.102844776,317.26152663,356.11595231,388.63685331,398.673641994,387.605733679,377.35291675,347.671748857,339.362956665,347.199572053,388.70667573,414.986873044,403.502784102,379.006926686,377.852976261,378.532190611,335.389784817,335.840541488,288.081685397,318.659727184,323.086612141,329.029520095,329.848825927,320.386844765,335.129897332,310.049601516,324.382337985,359.585604644,402.386161563,450.219783591,524.454216251,608.829863064,714.805272603,699.231227314,751.245165738,816.17270463,853.043025539,926.59697511,952.295923323,918.461748511,903.460682497
7517,High income,HIC,GDP per capita (Current US$),NY.GDP.PCAP.CD,1388.41220706,1447.52643843,1543.12965251,1629.13775319,1764.63738563,1894.08786134,2051.46463459,2169.02387105,2329.00898403,2531.34145704,2755.24583185,3024.47267146,3468.16980447,4168.1932093,4668.87831378,5123.4041296,5528.74262091,6207.0178743,7360.53665572,8439.42925143,9346.61255388,9410.95906312,9256.8145763,9510.2844898,9817.17136054,10243.1753348,12350.3866308,14196.7468473,15875.1172888,16427.6274343,18368.1677057,19320.9070005,20679.9763604,20684.2260464,22022.4978759,24216.5444823,24275.9754482,23738.5012205,23669.8501009,24673.4767747,25020.6634003,24599.7771554,25307.5367245,28200.804153,31191.8008574,32775.3370636,34352.7811941,37282.0982683,39326.1235864,36581.6185645,38137.9556025,41018.6518658,40812.2102482,41009.0441215,41598.0785771,39134.2894137,39674.6217525
8045,IBRD only,IBD,GDP per capita (Current US$),NY.GDP.PCAP.CD,153.688085954,145.104236459,148.514843062,154.984355604,171.868564738,183.859127778,185.174374678,186.177856682,192.281337925,209.896311452,222.993841408,237.963531023,261.895720941,329.6200845,407.180342091,431.009918469,460.756819883,512.673640309,542.820351432,638.768335171,740.421886286,788.577241339,767.857863995,741.588756834,748.614414942,775.961842512,794.062617631,798.083059809,848.665425608,891.828197144,994.165209794,1054.29952557,1035.78669711,1094.03448097,1178.96419435,1305.48701241,1408.76894279,1472.16240104,1413.3657599,1354.94591575,1455.15733983,1459.72520874,1466.35581027,1633.29872252,1922.50457697,2274.39002146,2667.93678959,3285.0860077,3905.21046865,3750.66335147,4511.44288479,5283.08506714,5561.14217368,5820.74460916,5954.49423471,5567.33237303,5541.79361775
8573,IDA & IBRD total,IBT,GDP per capita (Current US$),NY.GDP.PCAP.CD,144.193051169,137.765941465,141.561978097,148.763915137,161.704731323,173.667058393,175.980474114,176.409039154,182.015011587,198.833269713,212.97208279,224.685306581,244.823108573,304.011741447,378.270544617,404.97385371,430.036790014,475.639090447,505.904241628,592.192235223,685.213228678,759.632742721,732.806183294,690.65014756,686.342986129,708.210555229,719.079214402,723.345212839,763.120442144,793.297514342,878.244525077,924.772975061,903.769084966,943.881544643,1006.4910146,1113.41891361,1198.90314427,1248.2181408,1198.18387821,1150.08724281,1232.44962281,1230.94305433,1238.33621474,1375.31609433,1612.74830448,1899.30802403,2226.94657839,2722.28129359,3226.56016235,3091.8086195,3693.94054036,4302.54123755,4519.35895393,4727.52961464,4835.20486521,4519.17699536,4473.55903565
9101,IDA blend,IDB,GDP per capita (Current US$),NY.GDP.PCAP.CD,98.7344099134,103.050329717,107.510460481,110.945579841,118.295013566,125.531945822,132.832815123,130.259616619,134.915568915,149.978521811,201.072649582,181.062429833,197.064420973,203.923479858,288.102226244,322.095677872,380.402348715,387.01761344,406.766517619,485.511794251,605.834250911,1141.39139068,1013.15712289,748.782648983,621.656370363,602.701266289,526.596692529,526.271792408,530.059221524,497.698513478,523.239900401,516.454174426,496.870507283,430.122852208,431.40190291,486.609039717,525.203223945,525.727698189,505.272027501,514.169065449,550.808353568,540.749379904,584.829466099,641.838706562,768.668758048,902.684090086,1140.72482642,1288.59616998,1499.9639361,1369.9720727,1559.86338064,1758.64086557,1891.8208522,2009.94942628,2127.25626611,1968.99991093,1782.69819895
9629,IDA only,IDX,GDP per capita (Current US$),NY.GDP.PCAP.CD,102.523548756,104.920163005,110.924320525,125.812190905,113.190322611,127.886457047,134.991007237,133.09627922,135.889504649,148.343829707,149.943268721,155.661022155,150.650063228,177.881618675,224.465412257,269.979031422,243.136935034,267.713609752,307.659303146,332.718406295,352.581612804,350.052889414,339.458125935,317.882737178,310.633804039,322.849624069,339.290944675,351.370052168,345.4258186,332.709898217,341.767885943,338.823447322,309.975725313,304.492410909,273.334506563,303.911851698,323.184547601,330.302265202,330.814379865,326.647813044,347.690600174,332.502251173,341.926657089,376.033361542,415.68526966,462.025694453,524.098878385,609.075728201,721.984379898,728.609389739,807.155408215,890.818313024,919.584444558,999.285787199,1050.0769204,1047.6961169,1045.30574721
10157,IDA total,IDA,GDP per capita (Current US$),NY.GDP.PCAP.CD,99.0639249486,102.092122525,107.422233098,117.929281325,112.669168392,124.407723504,131.432222697,129.332563425,132.722064345,145.837289123,164.873094243,161.426833352,163.962211207,183.48359455,242.499528553,283.053444437,287.371384008,305.193405847,337.22375339,381.4106757,437.612124088,628.271335144,576.626128976,469.11008026,419.373917308,420.666646124,404.178726826,411.938293502,409.5732403,390.070961608,404.895088394,400.557780044,375.027538002,347.83020916,328.012401991,367.037654892,392.944144104,397.650119497,390.749908835,391.094113789,417.418847384,403.841566657,424.92754293,466.716305501,535.640416149,611.40520193,732.531600794,838.774667657,984.652764753,943.674955633,1060.34496645,1182.48934348,1247.35422791,1339.83684663,1413.4419253,1357.36098191,1291.44829192
10685,Late-demographic dividend,LTE,GDP per capita (Current US$),NY.GDP.PCAP.CD,155.847780042,143.603462626,148.692531009,157.485341433,169.930547714,185.362601084,200.930055306,198.430015574,198.032253519,216.166577309,239.822049663,260.867089069,292.955836542,364.595013311,421.215708856,454.916711288,488.490113503,558.710944041,573.798232678,675.81795068,755.506581714,789.695035873,795.813979631,724.587659104,752.153431689,792.476022608,830.224471545,861.57891879,934.552008514,1043.46476235,1098.29071762,1193.44712949,1102.51804122,1131.41010438,1275.29018011,1541.23549248,1682.60309162,1744.65299285,1664.32514646,1524.71706519,1661.90783464,1705.3278399,1794.23907563,2032.50774821,2427.82253148,2911.64409863,3491.97928153,4373.14464416,5403.41941436,5191.21989595,6190.53256611,7503.66715343,7979.43258279,8551.54992603,8807.09026717,8203.42330573,8156.76059062
11213,Latin America & Caribbean,LCN,GDP per capita (Current US$),NY.GDP.PCAP.CD,369.745071868,380.884754182,423.879011407,416.184855482,451.351712979,468.466656933,500.475563258,500.605681834,525.724345461,574.05458106,609.401511905,664.178856314,727.958166818,930.277024388,1180.05336795,1206.71045773,1309.67971183,1406.74014443,1561.33467311,1820.27708204,2144.31519831,2419.18525455,2208.81434387,1906.41122402,1885.25889541,1902.52219354,1878.54025539,1944.80222061,2150.98044486,2304.30711419,2648.21878066,3198.51954521,2969.5606185,3355.38595876,3768.52062309,3951.70722925,4206.81683037,4539.1568418,4509.97060404,4008.84736851,4358.72576589,4205.67739069,3723.24850392,3754.47850947,4271.46240421,5098.87187081,5900.66253034,6865.65934877,7881.11062265,7316.71868764,8964.83387933,10075.4497854,10062.7446221,10194.6127947,10278.240891,8742.39414559,8438.66261769
11741,Latin America & Caribbean (excluding high income),LAC,GDP per capita (Current US$),NY.GDP.PCAP.CD,284.208834601,288.731424417,320.937182589,346.456853404,348.91434552,358.229442744,393.074938533,416.543408481,436.973719076,466.581356382,504.587784859,552.693761726,620.510619281,763.093575412,982.360827938,1121.44439874,1236.5089297,1314.13575324,1476.51726895,1706.63655566,2015.13935201,2304.79308843,2078.61087754,1704.95985101,1756.80619542,1758.46607444,1669.25088627,1732.44146989,1920.02321088,2218.18128953,2429.44484233,2922.5633441,2541.55998277,2956.59675398,3357.22331502,3526.21714601,3775.70751695,4082.03887494,4035.90074799,3517.31158289,3910.12465208,3782.22569088,3617.25692469,3574.30255756,4021.200153,4826.02090469,5593.11581578,6526.30128188,7494.62544549,6945.77019608,8537.47723788,9514.01589658,9440.55825675,9553.44271777,9736.74026334,7887.48545998,7620.86450938
12269,Latin America & Caribbean (IDA & IBRD),TLA,GDP per capita (Current US$),NY.GDP.PCAP.CD,364.627854205,374.939363327,417.369942313,408.597890591,443.086919994,459.03741482,490.081748371,488.622223736,512.106373356,558.597893421,592.287938331,643.341215756,703.813106419,906.261840597,1160.03965242,1181.82252232,1284.76622446,1381.99450689,1528.14238596,1786.6877324,2116.63687306,2396.82816458,2174.92477267,1857.53560239,1826.07470125,1844.68582473,1813.17819397,1874.73627611,2077.76468889,2233.49681669,2579.51505244,3155.18976371,2919.802606,3312.65216472,3719.3413107,3898.10557554,4167.08376329,4497.49555854,4454.23839251,3925.36396351,4273.25255683,4100.14835886,3596.74612415,3619.70653184,4136.90939824,4971.01935218,5769.84175988,6745.34972759,7778.72407203,7195.56738751,8880.20487215,10008.3273745,9985.9335405,10114.3373689,10194.2062135,8602.54907791,8283.52718891
13325,Low & middle income,LMY,GDP per capita (Current US$),NY.GDP.PCAP.CD,130.131163303,123.671384169,126.653104913,137.800475834,146.935682146,158.124103298,160.236294906,163.341862595,168.262987196,182.740461788,196.952581106,207.705642747,227.951630658,278.203619563,345.717670125,385.298939288,410.500178748,452.878792307,483.212077437,563.388239608,650.187258931,722.393744369,697.716575101,653.013082078,658.358539363,678.122113972,682.931563916,686.593138994,722.326678331,765.751650822,834.325730353,863.332349983,828.859468047,867.486570542,923.169335722,1022.1286145,1100.76308786,1146.03541726,1092.43568448,1051.74663021,1136.29608557,1137.04654612,1178.87987296,1306.89678442,1528.18544677,1798.24548698,2112.24914921,2584.58081368,3060.03919079,2951.78644896,3531.69509431,4115.57242438,4337.84804133,4542.91224883,4658.30337991,4346.27066177,4309.24409618
16493,Middle income,MIC,GDP per capita (Current US$),NY.GDP.PCAP.CD,133.05107791,126.203548304,128.872539427,139.249621887,150.912413764,161.796179723,163.617442767,167.420628378,172.57596458,187.273242182,202.53393637,213.33058057,234.239607209,286.683146433,356.846641296,397.264193468,424.613814417,468.679653765,498.943716734,584.05071001,676.076186919,754.82404375,727.683057726,681.014756838,689.234684625,711.150203146,715.633941457,720.330027131,758.567413663,807.272830316,880.619328106,912.644581059,879.010306039,922.912036861,989.339082283,1096.38346844,1181.20538749,1231.54106817,1174.11867146,1130.75834107,1221.49531948,1225.92998774,1272.60805079,1413.84970064,1656.93643349,1954.04550403,2301.38244454,2822.52035416,3346.71464726,3229.57206277,3876.90723223,4527.83476108,4778.7213439,5009.6547658,5142.30105939,4802.23070417,4772.19923706
