,"﻿""Country Name""",Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
187,Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,47.9060562039,48.4853876147,49.0678271849,49.6588865458,50.2603726999,50.8664840723,51.4661088561,52.0504943267,52.6165766376,53.1693312407,53.7165597635,54.270969868,54.844021777,55.4403242093,56.0586989621,56.7012321164,57.3690451075,58.0579744448,58.7657007155,59.4935688947,60.2385316434,60.9921803216,61.7409133561,62.4687998175,63.1588477644,63.794987959,64.3688349586,64.885176241,65.3509145493,65.7729670587,66.19429816,66.5676007502,66.886918301,67.2608778054,67.6362468213,68.040169256,68.3981284003,68.7336548335,69.040045802,69.3174139676,69.5707720551,69.8094122293,70.0442617233,70.2841047658,70.5328955397,70.7877912332,71.0421296538,71.2869495417,71.5142129995,71.7224765625,71.9146268614,72.0985190372,72.2826318265,72.4734050482,72.6711872788,72.8757610183,73.0838909595
188,Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,45.7768792162,46.3613204107,46.9394554228,47.5143767825,48.0861885954,48.6514056695,49.2013299125,49.732925918,50.2481652424,50.7543377444,51.2647649043,51.7973185246,52.3606471603,52.9527688241,53.5623363287,54.1703441442,54.7537940051,55.2993344556,55.8076595204,56.2932198823,56.7817233354,57.3019601159,57.8714338376,58.4934037361,59.1549471973,59.8289914628,60.4842151122,61.0924007767,61.6331610283,62.1026595009,62.5447318842,62.9078115246,63.175743746,63.5304050863,63.8909309333,64.3116658144,64.6724459081,65.0213190717,65.3486803343,65.6538320837,65.9378864493,66.2053614835,66.4614782934,66.7142117825,66.9672963821,67.2207285052,67.4716647182,67.7140762669,67.9411385495,68.1502647936,68.3435614863,68.5287112264,68.7140633181,68.9037198493,69.0974728347,69.2942488798,69.4939504393
715,Caribbean small states,CSS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,64.2462022075,64.765656354,65.2394988981,65.6640991038,66.0406527315,66.3727306829,66.6672748585,66.9369204761,67.1946899789,67.4515225574,67.7148617339,67.9895531663,68.2749863748,68.5673618832,68.8659737002,69.1696956867,69.4771197291,69.7845108021,70.0873124943,70.3821331812,70.6625458388,70.9219674452,71.1561315597,71.3634836912,71.5421846118,71.6940742719,71.8240974203,71.939617079,72.0477450745,72.1518170421,72.2537561513,72.3522772865,72.4464453387,72.5363887909,72.6262084635,72.7181376129,72.814419806,72.9164763128,73.0260859448,73.144870806,73.2746533011,73.4181437845,73.5756055537,73.7448986053,73.9245564613,74.1130200219,74.3073893056,74.5047082225,74.7002064512,74.8910165027,75.0736975899,75.2460192766,75.4091226002,75.5635398299,75.7112120309,75.8527354615,75.9908274806
716,Caribbean small states,CSS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.4736798691,60.9465414575,61.384361446,61.7841336884,62.147094435,62.4734918463,62.7657651436,63.0315203132,63.2794806622,63.515366653,63.746564455,63.9804147255,64.2192560779,64.4638265145,64.7144291108,64.9686851885,65.2225620666,65.469540215,65.7040652424,65.9236101678,66.1248207648,66.3040210728,66.4598173107,66.5916181697,66.6973581098,66.7782711299,66.8381978365,66.8815779472,66.9149609863,66.9416165236,66.961487274,66.9741607584,66.9785052433,66.9783158756,66.9792852555,66.9876422199,67.0073665428,67.042800345,67.0967986913,67.1727898413,67.2764027178,67.4124963307,67.5804361278,67.7780243123,68.0012680435,68.2460312454,68.5069852812,68.7747587671,69.0404989024,69.2955870854,69.5312714016,69.742091778,69.929949563,70.0971739255,70.2454433627,70.3786135023,70.5016598994
1243,Central Europe and the Baltics,CEB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,70.3679612122,70.8948708439,70.6680183173,71.4212019877,71.7793536127,72.04393925,72.3652261977,72.2122081064,72.590837785,72.3970332378,72.5923030572,72.7751886327,73.1404152612,73.3457949062,73.5365582651,73.5251911033,73.7394835145,73.7601385422,73.7170104546,73.8814503885,73.6410374785,74.1180101509,74.2035627571,74.2323135938,74.2256553821,74.1951930365,74.4057855387,74.4885609374,74.7598778551,74.7453175857,74.8228741493,74.7900885763,75.0236888462,75.137849793,75.2215780016,75.3904703112,75.5844442357,75.7511666538,76.0983092606,76.3549986129,76.7869810865,77.1406289837,77.3430353713,77.4667885917,77.8219618957,77.9546075215,78.2013443071,78.3218016127,78.6271419561,78.9556067881,79.2848755752,79.903646411,79.9319707687,80.2065227742,80.520040232,80.3921416937,80.398043659
1244,Central Europe and the Baltics,CEB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.4110478972,65.7707083312,65.4875410653,66.1164735998,66.4697183617,66.6559265731,66.8375255934,66.4860546788,66.6419982977,66.3185888676,66.4667271184,66.3676507168,66.879855417,66.9616023143,67.2457144261,67.0006534328,67.079903953,66.9086394215,66.7663079785,66.7878566579,66.3351453986,66.82026278,66.9006856692,66.7454604027,66.6713821613,66.6267271976,66.9156115763,66.9278172011,67.1573370602,66.9195433035,66.6987213863,66.5680597554,66.6596152152,66.7741984563,66.7411997163,66.8840334966,67.2998039285,67.496090206,67.908973396,68.2237980605,68.8572914673,69.260194637,69.3525986845,69.50627652,69.8620645336,69.9350231277,70.1971556345,70.3912058998,70.7340757603,71.1115616608,71.5064825683,72.0762128933,72.2543209719,72.6975922297,73.0449595504,72.9811087991,72.9997083704
1771,Early-demographic dividend,EAR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,45.6914930879,46.3699541148,46.9875359013,47.5437119073,48.1586714455,48.7687753538,49.4253619532,50.0090410872,50.5759993457,51.1311006947,51.681579309,52.2372768355,52.8006501749,53.387265163,53.9857303523,54.5968430538,55.2138812024,55.8233241454,56.4177428794,56.9873749447,57.5270061637,58.0322444341,58.5097319425,58.9677330276,59.4096938347,59.8399387578,60.2618693729,60.6805797963,61.0941337109,61.522137297,61.9584143107,62.3981151628,62.8435306834,63.2915553978,63.7325507249,64.1595300655,64.5683981362,64.9555883929,65.3229566237,65.6727633113,66.0103207358,66.3380423096,66.664317736,66.9967044041,67.339968295,67.6987828539,68.0813114005,68.4831186341,68.9005805644,69.3252753958,69.7477119922,70.15529759,70.5408710947,70.8977153388,71.2225724575,71.5154058447,71.7809077967
1772,Early-demographic dividend,EAR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,44.7900196995,45.4486160958,46.0488858909,46.5896292655,47.1796568103,47.7607808884,48.3797705906,48.9259591299,49.4524782935,49.9623330433,50.460246441,50.9528014583,51.4443919149,51.9402196991,52.4396679974,52.9390015111,53.4349148942,53.9136804063,54.3711014723,54.8024119828,55.2090598698,55.6003526176,55.9865008018,56.3806535335,56.7870587123,57.2075294496,57.636656168,58.0712329402,58.5024345878,58.9284467813,59.3549694127,59.7711097043,60.1814190179,60.5893325237,60.9873456313,61.370760629,61.7386680885,62.0872463585,62.4211799312,62.7448902886,63.0581243169,63.3681821609,63.6773107739,63.9915416994,64.3124292885,64.639666393,64.9727493267,65.3066250894,65.6378665905,65.9640870865,66.2790878256,66.5820337229,66.8714980561,67.1477485004,67.4085236235,67.6536585691,67.8876767189
2299,East Asia & Pacific,EAS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,50.322854227,50.8606616459,51.5475436079,52.5658678892,53.8183407261,55.2514287573,56.8450459307,58.3742285374,59.764059392,60.9961156846,62.0021419363,62.8512456606,63.5738782114,64.1944575929,64.8286128487,65.4579167796,66.052953673,66.6479113689,67.1924656069,67.7164309642,68.1620552395,68.6062874496,69.0216673422,69.3603860495,69.7071076459,70.0059578638,70.2935468271,70.5631849807,70.7729334386,71.0192995161,71.2347527091,71.4636484776,71.6667539549,71.8819336129,72.1174178487,72.3153758697,72.6026701593,72.8800287944,73.1620326609,73.4358232477,73.7931927668,74.1296854305,74.4591153748,74.778882835,75.0981658112,75.3741641175,75.6681529619,75.9234838939,76.1542230688,76.3879233109,76.5614761685,76.7114414962,76.8986317802,77.0719774452,77.2372007665,77.4014983277,77.5519457671
2300,East Asia & Pacific,EAS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,46.7518132068,47.272665742,47.9250691958,48.8571885757,49.9981573985,51.3034598588,52.776115705,54.2214586295,55.5768299825,56.8193505368,57.9119099798,58.8964957259,59.7559156906,60.5230723567,61.2826792194,61.990456872,62.6123894933,63.1825373119,63.6846038571,64.1443455914,64.5258800497,64.9138511408,65.2799977219,65.5763287251,65.886943786,66.1640945567,66.4223195108,66.6502643963,66.8214494739,67.0041275982,67.150370531,67.3052172877,67.4302048545,67.5758684041,67.7450855853,67.9079343908,68.1746612848,68.4597741384,68.7664472247,69.1269468449,69.5188835681,69.9215033443,70.2909348062,70.6442567556,70.9685039412,71.2352844008,71.5080686595,71.7450009157,71.9553798735,72.175909737,72.3550700472,72.5281667521,72.7284460083,72.9114467675,73.0793134503,73.2408999673,73.3837998653
2827,East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,47.3930407448,47.8348424179,48.5699567237,49.6396781243,51.0489702614,52.7106287758,54.490980945,56.2393545209,57.8259749477,59.1911689997,60.3124621261,61.2158744568,61.9869770693,62.6975249675,63.3725702435,64.0277071202,64.6695338003,65.2845355891,65.8644969438,66.4064432829,66.9057283267,67.3608519944,67.774430182,68.1471612903,68.4835847289,68.7894764369,69.0692476451,69.3286119447,69.5722702559,69.8053892445,70.0314034735,70.2534176278,70.4709686562,70.68924832,70.912236535,71.1480920406,71.404128757,71.681146177,71.9784963056,72.2937723042,72.6246397568,72.9658332996,73.3093333424,73.6472160014,73.9737693951,74.2824282224,74.5684346387,74.8305771357,75.0711193041,75.2903064214,75.4888495642,75.6725298864,75.8446945339,76.0123597299,76.1770174152,76.3419481059,76.5069612364
2828,East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,44.2183666984,44.6635712993,45.3608379125,46.3434512648,47.6199477481,49.1253608872,50.7598045698,52.4042387232,53.9493405704,55.3405082213,56.5491937287,57.5839941513,58.4973373624,59.3368456662,60.1139355877,60.836418813,61.5091575566,62.1287462858,62.6940044722,63.204073598,63.6600333475,64.0667291413,64.433493279,64.7639159568,65.0641107446,65.3367563256,65.5824570589,65.7987397411,65.9885259399,66.1581623507,66.3122022236,66.4547336036,66.5919083505,66.7348956061,66.8930427961,67.0829600695,67.3196970693,67.6057646406,67.938178421,68.3103186113,68.7079463621,69.113704922,69.5080634952,69.8743719055,70.2057036118,70.4979933495,70.7549116356,70.9874924863,71.2064541688,71.4150764009,71.6135057439,71.8029447626,71.9814188443,72.1501941513,72.3104742188,72.4635057397,72.6136265511
